EMD_CD,EMD_NM,PRED_DATETIME,COLLECTED_AT,PRED_SEVERITY,RISK_LEVEL,AVG_ELEVATION,MIN_ELEVATION,MAX_ELEVATION,FLOOD_COUNT,AVG_SHIM,MAX_SHIM,AVG_AREA,TOTAL_SCALE,AVG_DEPTH_PER_AREA,RECENT_YR,AVG_WATL,MAX_WATL,SENSOR_COUNT,AVG_RN1,MAX_RN1,TOTAL_RN1,UPDATE_TIME,RISK_LEVEL_NUM
11110157,인의동,2026-06-09 12:51,2026-06-09 09:51,-8.675004602513073e-11,안전,25.701023727272727,22.640589,30.816172,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-09 10:16,1
11110118,내수동,2026-06-09 12:51,2026-06-09 09:51,1.379939205339186e-11,안전,39.657528125,34.00971,51.80197,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-09 10:16,1
11110121,신문로2가,2026-06-09 12:51,2026-06-09 09:51,1.379939205339186e-11,안전,51.29246789655173,35.299076,74.91754,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-09 10:16,1
11110162,효제동,2026-06-09 12:51,2026-06-09 09:51,-6.330872771971647e-11,안전,22.802743454545453,21.35495,26.819218,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-09 10:16,1
11110129,견지동,2026-06-09 12:51,2026-06-09 09:51,4.180979481354537e-12,안전,33.21049433333334,30.592813,35.373287,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-09 10:16,1
11110133,익선동,2026-06-09 12:51,2026-06-09 09:51,4.180979481354537e-12,안전,28.6576096,27.753338,30.214462,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-09 10:16,1
11110124,수송동,2026-06-09 12:51,2026-06-09 09:51,4.180979481354537e-12,안전,33.1117113,31.376858,35.47248,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-09 10:16,1
11110128,관훈동,2026-06-09 12:51,2026-06-09 09:51,4.180979481354537e-12,안전,30.216649166666667,29.063248,31.130924,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-09 10:16,1
11110174,창신동,2026-06-09 12:51,2026-06-09 09:51,5.7354035253443646e-11,안전,50.76177729213484,18.408852,107.044334,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-09 10:16,1
11110119,세종로,2026-06-09 12:51,2026-06-09 09:51,1.3902760967646915e-11,안전,51.20557382828282,30.172832,147.31944,0.0,0.0,0.0,0.0,0.0,0.0,,0.06,0.14,3.0,0.0,0.0,0.0,2026-06-09 10:16,1
11110164,종로6가,2026-06-09 12:51,2026-06-09 09:51,6.919169551185979e-11,안전,26.4608261875,20.424963,45.18532,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-09 10:16,1
11110176,교남동,2026-06-09 12:51,2026-06-09 09:51,1.379939205339186e-11,안전,40.373894666666665,37.95491,42.071114,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-09 10:16,1
11110155,관수동,2026-06-09 12:51,2026-06-09 09:51,-6.708170758569283e-11,안전,24.063848333333336,23.13137,25.108974,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-09 10:16,1
11110122,청진동,2026-06-09 12:51,2026-06-09 09:51,4.180979481354537e-12,안전,30.816562,30.111444,31.465265,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-09 10:16,1
11110131,권농동,2026-06-09 12:51,2026-06-09 09:51,4.180979481354537e-12,안전,32.598785,27.37579,37.46438,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-09 10:16,1
11110145,송현동,2026-06-09 12:51,2026-06-09 09:51,1.379939205339186e-11,안전,36.1372775,33.6865,38.09863,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-09 10:16,1
11110115,사직동,2026-06-09 12:51,2026-06-09 09:51,-1.4438896057273536e-10,안전,72.41040796666667,39.816727,119.65427,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-09 10:16,1
11110113,필운동,2026-06-09 12:51,2026-06-09 09:51,-1.6685582121058286e-10,안전,58.74521866666666,42.94062,88.40703,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-09 10:16,1
11110165,이화동,2026-06-09 12:51,2026-06-09 09:51,1.379939205339186e-11,안전,41.81435723076923,24.167051,82.887405,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-09 10:16,1
11110112,체부동,2026-06-09 12:51,2026-06-09 09:51,1.379939205339186e-11,안전,41.349204,39.57249,43.729534,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,2026-06-09 10:16,1
11110141,안국동,2026-06-09 12:51,2026-06-09 09:51,1.379939205339186e-11,안전,36.525471125,33.21391,40.850193,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-09 10:16,1
11110106,통의동,2026-06-09 12:51,2026-06-09 09:51,1.379939205339186e-11,안전,37.05470133333333,35.974182,37.93051,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-09 10:16,1
11110160,연지동,2026-06-09 12:51,2026-06-09 09:51,-8.675004602513073e-11,안전,25.57614942857143,22.042746,30.72916,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-09 10:16,1
11110125,중학동,2026-06-09 12:51,2026-06-09 09:51,4.180979481354537e-12,안전,34.3591088,32.926956,36.625507,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-09 10:16,1
11110114,내자동,2026-06-09 12:51,2026-06-09 09:51,1.379939205339186e-11,안전,37.9024315,36.521175,40.263454,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-09 10:16,1
11110107,적선동,2026-06-09 12:51,2026-06-09 09:51,4.180979481354537e-12,안전,34.79952475,33.914654,35.55461,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-09 10:16,1
11110138,종로2가,2026-06-09 12:51,2026-06-09 09:51,5.0970263278812977e-11,안전,26.708843875,25.567055,28.35742,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-09 10:16,1
11110134,경운동,2026-06-09 12:51,2026-06-09 09:51,4.180979481354537e-12,안전,30.910426625,29.237093,32.783367,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-09 10:16,1
11110159,원남동,2026-06-09 12:51,2026-06-09 09:51,2.989110129060933e-11,안전,27.14889511111112,24.532219,31.972618,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-09 10:16,1
11110181,행촌동,2026-06-09 12:51,2026-06-09 09:51,-1.4438896057273536e-10,안전,70.7337064375,48.722103,111.31688,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-09 10:16,1
11110150,훈정동,2026-06-09 12:51,2026-06-09 09:51,1.379939205339186e-11,안전,31.209362318181817,23.673565,40.48752,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-09 10:16,1
11110132,운니동,2026-06-09 12:51,2026-06-09 09:51,4.180979481354537e-12,안전,33.139630714285715,31.654488,34.717606,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-09 10:16,1
