EMD_CD,EMD_NM,PRED_SEVERITY,RISK_LEVEL,AVG_RN1,TOTAL_RN1,AVG_WATL,AVG_ELEVATION,DONG_AREA_KM2
11110103,궁정동,0.0,안전,0.0,0.0,0.0,50.86512557142857,0.0733249521229892
11110120,신문로1가,0.0,안전,0.0,0.0,0.0,35.858065857142854,0.06576600800376
11110167,충신동,0.0,안전,0.0,0.0,0.0,32.674837933333336,0.1282341354228581
11110185,홍지동,0.0,안전,0.0,0.0,0.0,111.61698966666668,0.3558291481991782
11110154,장사동,0.0,안전,0.0,0.0,0.0,22.8054544,0.0576339981320931
11110135,관철동,0.0,안전,0.0,0.0,0.0,26.055264,0.0824740812089123
11110177,평동,0.0,안전,0.0,0.0,0.0,45.878795888888895,0.0805059779631079
11110156,종로3가,0.0,안전,0.0,0.0,0.0,23.993978,0.0450166812691121
11110161,종로4가,0.0,안전,0.0,0.0,0.0,22.4605895,0.0428471275425628
11110123,서린동,0.0,안전,0.0,0.0,0.0,28.661896,0.0474688599834108
11110178,송월동,0.0,안전,0.0,0.0,0.0,55.07935583333333,0.044573611127085
11110158,예지동,0.0,안전,0.0,0.0,0.0,21.423468300000003,0.068500417259522
11110127,공평동,0.0,안전,0.0,0.0,0.0,29.20066333333333,0.0386724069852391
11110179,홍파동,0.0,안전,0.0,0.0,0.0,50.93891025,0.0417323742155428
11110126,종로1가,0.0,안전,0.0,0.0,0.0,29.73767871428572,0.0360800626484026
11110117,당주동,0.0,안전,0.0,0.0,0.0,35.6821468,0.0432291591752082
11110163,종로5가,0.0,안전,0.0,0.0,0.0,20.911049,0.1116864679248525
11110153,돈의동,0.0,안전,0.0,0.0,0.0,26.20902075,0.0321890159750496
11110136,인사동,0.0,안전,0.0,0.0,0.0,28.4664449,0.0692861448015418
11110152,봉익동,0.0,안전,0.0,0.0,0.0,25.74645433333333,0.0392500754084812
11110180,교북동,0.0,안전,0.0,0.0,0.0,45.20961666666667,0.0297998853152645
11110116,도렴동,0.0,안전,0.0,0.0,0.0,33.0086254,0.0292367679046478
11110151,묘동,0.0,안전,0.0,0.0,0.0,25.8082745,0.0300683661238168
11110157,인의동,0.0,안전,0.0,0.0,0.0,25.701023727272727,0.0824669259889188
11110118,내수동,0.0,안전,0.0,0.0,0.0,39.657528125,0.0704765317115603
11110121,신문로2가,0.0,안전,0.0,0.0,0.0,51.29246789655173,0.2550264072454942
11110162,효제동,0.0,안전,0.0,0.0,0.0,22.802743454545453,0.1003459687856963
11110129,견지동,0.0,안전,0.0,0.0,0.0,33.21049433333334,0.0461444632649855
11110133,익선동,0.0,안전,0.0,0.0,0.0,28.6576096,0.0462208497391975
11110124,수송동,0.0,안전,0.0,0.0,0.0,33.1117113,0.0982333566144871
11110128,관훈동,0.0,안전,0.0,0.0,0.0,30.216649166666667,0.0733728804319911
11110174,창신동,0.0,안전,0.0,0.0,0.0,50.76177729213484,0.7790551177617704
11110119,세종로,0.0,안전,0.0,0.0,0.0,51.20557382828282,0.884516104527535
11110164,종로6가,0.0,안전,0.0,0.0,0.0,26.4608261875,0.1520803365890481
11110176,교남동,0.0,안전,0.0,0.0,0.0,40.373894666666665,0.0221662847331358
11110155,관수동,0.0,안전,0.0,0.0,0.0,24.063848333333336,0.0600396867457501
11110122,청진동,0.0,안전,0.0,0.0,0.0,30.816562,0.0616584860059788
11110131,권농동,0.0,안전,0.0,0.0,0.0,32.598785,0.0342650960172079
11110145,송현동,0.0,안전,0.0,0.0,0.0,36.1372775,0.0452211139747379
11110115,사직동,0.0,안전,0.0,0.0,0.0,72.41040796666667,0.2839115669190327
11110113,필운동,0.0,안전,0.0,0.0,0.0,58.74521866666666,0.086137290724677
11110165,이화동,0.0,안전,0.0,0.0,0.0,41.81435723076923,0.1219392083491417
11110112,체부동,0.0,안전,0.0,0.0,0.0,41.349204,0.0450315539952902
11110141,안국동,0.0,안전,0.0,0.0,0.0,36.525471125,0.0678511178978212
11110106,통의동,0.0,안전,0.0,0.0,0.0,37.05470133333333,0.062914520683665
11110160,연지동,0.0,안전,0.0,0.0,0.0,25.57614942857143,0.1118133417110694
11110125,중학동,0.0,안전,0.0,0.0,0.0,34.3591088,0.0306146184331171
11110114,내자동,0.0,안전,0.0,0.0,0.0,37.9024315,0.0523163676726759
11110107,적선동,0.0,안전,0.0,0.0,0.0,34.79952475,0.0432246601743682
11110138,종로2가,0.0,안전,0.0,0.0,0.0,26.708843875,0.0594098411787344
11110134,경운동,0.0,안전,0.0,0.0,0.0,30.910426625,0.0572719584391157
11110159,원남동,0.0,안전,0.0,0.0,0.0,27.14889511111112,0.0738431359038441
11110181,행촌동,0.0,안전,0.0,0.0,0.0,70.7337064375,0.1285420399478665
11110150,훈정동,0.0,안전,0.0,0.0,0.0,31.209362318181817,0.2061607366220997
11110132,운니동,0.0,안전,0.0,0.0,0.0,33.139630714285715,0.0698172998958018
11110137,낙원동,0.0,안전,0.0,0.0,0.0,27.585873,0.0728962323310199
11110144,사간동,0.0,안전,0.0,0.0,0.0,36.7748285,0.0286979313388496
11110187,무악동,0.0,안전,0.0,0.0,0.0,112.13071552380951,0.3697646777170947
11110109,누상동,0.0,안전,0.0,0.0,0.0,114.102195,0.2587734437501817
11110143,화동,0.0,안전,0.0,0.0,0.0,48.58286933333333,0.0581575484025213
11110172,명륜4가,0.0,안전,0.0,0.0,0.0,32.345687,0.0746681608469842
11110104,효자동,0.0,안전,0.0,0.0,0.0,43.58304,0.0594489348191391
11110139,팔판동,0.0,안전,0.0,0.0,0.0,47.22074799999999,0.0412368956515534
11110102,신교동,0.0,안전,0.0,0.0,0.0,71.1919202,0.0988942378021899
11110146,가회동,0.0,안전,0.0,0.0,0.0,60.55332082352941,0.1579914652051266
11110171,명륜2가,0.0,안전,0.0,0.0,0.0,36.71548781818182,0.1084630567662447
11110101,청운동,0.0,안전,0.0,0.0,0.0,115.61918226373626,0.7932137713951899
11110111,옥인동,0.0,안전,0.0,0.0,0.0,151.2469854509804,0.4182269419275327
11110130,와룡동,0.0,안전,0.0,0.0,0.0,49.938363192771085,0.7069912111430184
11110148,계동,0.0,안전,0.0,0.0,0.0,54.131057166666665,0.1738048320303511
11110149,원서동,0.0,안전,0.0,0.0,0.0,66.75511468421053,0.1559564184734793
11110173,명륜3가,0.0,안전,0.0,0.0,0.0,89.01253331914893,0.4153138833439654
11110170,명륜1가,0.0,안전,0.0,0.0,0.0,57.31182118181818,0.1940329066614129
11110147,재동,0.0,안전,0.0,0.0,0.0,37.222883875,0.0529989704243056
11110110,누하동,0.0,안전,0.0,0.0,0.0,47.526427875,0.0561138167170751
11110108,통인동,0.0,안전,0.0,0.0,0.0,40.73095825,0.0500735814799098
11110142,소격동,0.0,안전,0.0,0.0,0.0,39.75525725,0.0612458896795955
11110105,창성동,0.0,안전,0.0,0.0,0.0,40.00001333333333,0.0594426498974317
11110166,연건동,0.0,안전,0.0,0.0,0.0,32.93166616129032,0.2952767179197893
11110183,평창동,0.0,안전,0.0,0.0,0.0,253.8596462104377,5.20284085881308
11110182,구기동,0.0001,주의,0.0,0.0,0.0,307.85826821749407,3.741813114229287
11110175,숭인동,0.0,안전,0.0,0.0,0.0,32.214327,0.5906058098228365
11110168,동숭동,0.0,안전,0.0,0.0,0.0,43.760082454545454,0.3650023114579569
11110140,삼청동,0.0,안전,0.0,0.0,0.0,138.32199974626866,1.179004983646578
11110184,부암동,0.0,안전,0.0,0.0,0.0,165.39929718079097,1.5525918569405472
11110169,혜화동,0.0,안전,0.0,0.0,0.0,47.22912958974359,0.3287975431654426
11110186,신영동,0.0,안전,0.0,0.0,0.0,92.48865186666666,0.3618050458566904
