LAT,LON,ELEVATION
37.701089082512404,127.01571561753566,657.64886
37.701089082512404,127.01665770685726,695.70105
37.701089082512404,127.01759979617886,651.2608
37.701089082512404,127.01854188550045,573.399
37.701089082512404,127.01948397482205,550.96344
37.701089082512404,127.02796277871641,388.7757
37.700146993190806,127.01571561753566,668.8138
37.700146993190806,127.01665770685726,674.5733
37.700146993190806,127.01759979617886,619.1515
37.700146993190806,127.01854188550045,554.41956
37.700146993190806,127.01948397482205,523.16034
37.700146993190806,127.02042606414365,526.32245
37.700146993190806,127.02136815346523,528.0489
37.700146993190806,127.02325233210843,467.65408
37.700146993190806,127.02702068939482,420.1373
37.700146993190806,127.02796277871641,404.06442
37.699204903869216,127.01477352821406,659.14075
37.699204903869216,127.01571561753566,681.79144
37.699204903869216,127.01665770685726,634.44275
37.699204903869216,127.01759979617886,576.8979
37.699204903869216,127.01854188550045,520.36273
37.699204903869216,127.01948397482205,477.74063
37.699204903869216,127.02042606414365,483.66165
37.699204903869216,127.02136815346523,496.05093
37.699204903869216,127.02231024278683,512.43713
37.699204903869216,127.02325233210843,488.3739
37.699204903869216,127.02419442143002,466.98926
37.699204903869216,127.02513651075162,454.82684
37.699204903869216,127.02607860007322,436.20886
37.699204903869216,127.02702068939482,409.10226
37.699204903869216,127.02796277871641,373.0519
37.699204903869216,127.02890486803801,323.1309
37.69826281454762,127.01383143889247,655.5572
37.69826281454762,127.01477352821406,688.0788
37.69826281454762,127.01571561753566,699.14233
37.69826281454762,127.01665770685726,639.98334
37.69826281454762,127.01759979617886,598.06506
37.69826281454762,127.01854188550045,518.4079
37.69826281454762,127.01948397482205,465.10748
37.69826281454762,127.02042606414365,420.37244
37.69826281454762,127.02136815346523,433.0275
37.69826281454762,127.02231024278683,476.415
37.69826281454762,127.02325233210843,476.85535
37.69826281454762,127.02419442143002,452.64624
37.69826281454762,127.02513651075162,434.936
37.69826281454762,127.02607860007322,417.93137
37.69826281454762,127.02702068939482,381.3722
37.69826281454762,127.02796277871641,331.81683
37.69826281454762,127.02890486803801,308.03787
37.69732072522602,127.01194726024927,636.3807
37.69732072522602,127.01288934957087,630.03986
37.69732072522602,127.01383143889247,626.55206
37.69732072522602,127.01477352821406,629.96796
37.69732072522602,127.01571561753566,641.2556
37.69732072522602,127.01665770685726,629.4968
37.69732072522602,127.01759979617886,639.3411
37.69732072522602,127.01854188550045,504.69202
37.69732072522602,127.01948397482205,441.2869
37.69732072522602,127.02042606414365,397.65192
37.69732072522602,127.02136815346523,386.15692
37.69732072522602,127.02231024278683,423.1031
37.69732072522602,127.02325233210843,437.23962
37.69732072522602,127.02419442143002,425.32312
37.69732072522602,127.02513651075162,406.1199
37.69732072522602,127.02607860007322,377.2623
37.69732072522602,127.02702068939482,339.12848
37.69732072522602,127.02796277871641,306.0487
37.69732072522602,127.02890486803801,281.2981
37.69637863590442,127.01006308160609,650.0992
37.69637863590442,127.01100517092767,656.64764
37.69637863590442,127.01194726024927,625.6403
37.69637863590442,127.01288934957087,580.67255
37.69637863590442,127.01383143889247,560.1153
37.69637863590442,127.01477352821406,567.58765
37.69637863590442,127.01571561753566,583.60376
37.69637863590442,127.01665770685726,563.26404
37.69637863590442,127.01759979617886,590.3131
37.69637863590442,127.01854188550045,488.4798
37.69637863590442,127.01948397482205,428.44168
37.69637863590442,127.02042606414365,386.81335
37.69637863590442,127.02136815346523,351.31885
37.69637863590442,127.02231024278683,370.21432
37.69637863590442,127.02325233210843,392.69757
37.69637863590442,127.02419442143002,398.77307
37.69637863590442,127.02513651075162,384.71848
