EMD_CD,EMD_NM,DONG_AREA_M2,DONG_AREA_KM2
11110150,훈정동,206160.73662209974,0.20616073662209974
11110151,묘동,30068.366123816842,0.03006836612381684
11110152,봉익동,39250.07540848121,0.03925007540848121
11110153,돈의동,32189.015975049693,0.032189015975049695
11110154,장사동,57633.9981320931,0.0576339981320931
11110155,관수동,60039.68674575013,0.06003968674575013
11110156,종로3가,45016.68126911218,0.04501668126911218
11110157,인의동,82466.92598891884,0.08246692598891885
11110158,예지동,68500.41725952209,0.06850041725952209
11110159,원남동,73843.13590384412,0.07384313590384411
11110160,연지동,111813.34171106944,0.11181334171106944
11110161,종로4가,42847.12754256284,0.04284712754256284
11110162,효제동,100345.96878569639,0.10034596878569639
11110163,종로5가,111686.46792485258,0.11168646792485258
11110164,종로6가,152080.3365890481,0.1520803365890481
11110165,이화동,121939.20834914174,0.12193920834914174
11110166,연건동,295276.7179197893,0.2952767179197893
11110167,충신동,128234.13542285818,0.12823413542285816
11110168,동숭동,365002.3114579569,0.3650023114579569
11110169,혜화동,328797.5431654426,0.3287975431654426
11110170,명륜1가,194032.906661413,0.19403290666141298
11110171,명륜2가,108463.05676624473,0.10846305676624472
11110172,명륜4가,74668.16084698428,0.07466816084698427
11110173,명륜3가,415313.88334396546,0.41531388334396546
11110174,창신동,779055.1177617704,0.7790551177617704
11110175,숭인동,590605.8098228365,0.5906058098228365
11110176,교남동,22166.284733135864,0.022166284733135866
11110177,평동,80505.97796310791,0.08050597796310792
11110178,송월동,44573.61112708502,0.04457361112708502
11110179,홍파동,41732.37421554284,0.04173237421554284
11110180,교북동,29799.885315264513,0.029799885315264514
11110181,행촌동,128542.03994786655,0.12854203994786656
11110182,구기동,3741813.114229287,3.741813114229287
11110183,평창동,5202840.85881308,5.20284085881308
11110184,부암동,1552591.8569405472,1.5525918569405472
11110185,홍지동,355829.1481991782,0.3558291481991782
11110186,신영동,361805.0458566904,0.3618050458566904
11110187,무악동,369764.6777170948,0.36976467771709476
11140101,무교동,32197.6736372937,0.0321976736372937
11140102,다동,58535.80950169001,0.05853580950169001
11140103,태평로1가,74421.19509370903,0.07442119509370904
11140104,을지로1가,62299.695306515365,0.062299695306515364
11140105,을지로2가,112448.54600243716,0.11244854600243716
11140106,남대문로1가,18719.225289953978,0.018719225289953977
11140107,삼각동,27046.316521441808,0.027046316521441807
11140108,수하동,18328.01173706807,0.01832801173706807
11140109,장교동,34161.551291884425,0.034161551291884425
11140110,수표동,35198.32051541342,0.03519832051541342
11140111,소공동,82153.07589828415,0.08215307589828415
11140112,남창동,138691.3927954977,0.1386913927954977
11140113,북창동,44138.27899499453,0.04413827899499453
11140114,태평로2가,82087.30265767571,0.0820873026576757
11140115,남대문로2가,26228.61817465623,0.02622861817465623
11140116,남대문로3가,34015.72423010191,0.03401572423010191
11140117,남대문로4가,54888.80879358552,0.05488880879358552
11140118,남대문로5가,228168.39928932645,0.22816839928932645
11140119,봉래동1가,41294.99007726261,0.04129499007726262
11140120,봉래동2가,130033.50884893491,0.13003350884893491
11140121,회현동1가,298956.00520372146,0.29895600520372145
11140122,회현동2가,70463.68836743753,0.07046368836743752
11140123,회현동3가,12579.853872227583,0.012579853872227582
11140124,충무로1가,59430.702701647395,0.059430702701647395
11140125,충무로2가,69049.78255670464,0.06904978255670464
11140126,명동1가,36790.020732248515,0.03679002073224851
11140127,명동2가,117606.12386336866,0.11760612386336866
11140128,남산동1가,23001.039469408104,0.023001039469408104
11140129,남산동2가,72394.45255068837,0.07239445255068837
11140130,남산동3가,28982.215994768732,0.02898221599476873
11140131,저동1가,35490.22693086224,0.03549022693086224
11140132,충무로4가,58267.95752196603,0.058267957521966035
11140133,충무로5가,54328.58414929438,0.05432858414929438
11140134,인현동2가,70349.66928064368,0.07034966928064368
11140135,예관동,38708.31641569057,0.03870831641569057
11140136,묵정동,61719.754638853876,0.061719754638853874
11140137,필동1가,35922.54404633687,0.03592254404633687
11140138,필동2가,185138.81266682665,0.18513881266682664
11140139,필동3가,93518.28924232502,0.09351828924232501
11140140,남학동,10747.99704547292,0.01074799704547292
11140141,주자동,22769.538230294816,0.022769538230294817
11140142,예장동,678966.2576147337,0.6789662576147336
11140143,장충동1가,148593.862118792,0.148593862118792
11140144,장충동2가,1197786.0427738964,1.1977860427738964
11140145,광희동1가,53981.31697338946,0.05398131697338946
11140146,광희동2가,56523.830143591425,0.05652383014359143
11140147,쌍림동,78705.06502369381,0.07870506502369382
11140148,을지로6가,185007.09140267482,0.18500709140267482
11140149,을지로7가,91958.3301436026,0.09195833014360259
11140150,을지로4가,70434.54728146212,0.07043454728146212
11140151,을지로5가,78468.44534252775,0.07846844534252774
11140152,주교동,73002.03697005699,0.07300203697005699
11140153,방산동,59057.44935945722,0.05905744935945722
11140154,오장동,67484.15252539153,0.06748415252539153
11140155,을지로3가,83109.15528007255,0.08310915528007255
11140156,입정동,39804.681017707815,0.039804681017707816
11140157,산림동,44872.35771552421,0.04487235771552421
11140158,충무로3가,47142.69984052507,0.04714269984052507
11140159,초동,51604.85517608087,0.05160485517608087
11140160,인현동1가,44235.889981458036,0.04423588998145803
11140161,저동2가,54560.261407903854,0.054560261407903855
11140162,신당동,2390156.8117898596,2.3901568117898595
11140163,흥인동,124693.34355810896,0.12469334355810896
11140164,무학동,27220.811747391457,0.02722081174739146
11140165,황학동,327900.6805632831,0.3279006805632831
11140166,서소문동,115361.83282877842,0.11536183282877842
11140167,정동,303013.8561023702,0.3030138561023702
11140168,순화동,143399.59882655824,0.14339959882655826
