EMD_CD,EMD_NM,PRED_DATETIME,COLLECTED_AT,PRED_SEVERITY,RISK_LEVEL
11110172,명륜4가,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11110104,효자동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11110139,팔판동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11110102,신교동,2026-06-09 06:03,2026-06-09 03:03,-1.4438896057273536e-10,안전
11110146,가회동,2026-06-09 06:03,2026-06-09 03:03,-1.4438896057273536e-10,안전
11110171,명륜2가,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11110101,청운동,2026-06-09 06:03,2026-06-09 03:03,1.653454710734332e-11,안전
11110111,옥인동,2026-06-09 06:03,2026-06-09 03:03,1.653454710734332e-11,안전
11110130,와룡동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11110148,계동,2026-06-09 06:03,2026-06-09 03:03,-1.6685582121058286e-10,안전
11110149,원서동,2026-06-09 06:03,2026-06-09 03:03,-1.4438896057273536e-10,안전
11110173,명륜3가,2026-06-09 06:03,2026-06-09 03:03,-2.4046001881269256e-10,안전
11110170,명륜1가,2026-06-09 06:03,2026-06-09 03:03,-1.6685582121058286e-10,안전
11110147,재동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11110110,누하동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11110108,통인동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11110142,소격동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11110105,창성동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11110166,연건동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11110183,평창동,2026-06-09 06:03,2026-06-09 03:03,0.00010104052367590679,안전
11110182,구기동,2026-06-09 06:03,2026-06-09 03:03,0.00010139887986591586,안전
11110175,숭인동,2026-06-09 06:03,2026-06-09 03:03,5.735403525344365e-11,안전
11110168,동숭동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11110140,삼청동,2026-06-09 06:03,2026-06-09 03:03,3.468838975979296e-06,안전
11110184,부암동,2026-06-09 06:03,2026-06-09 03:03,1.6248705954363106e-11,안전
11110169,혜화동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11110186,신영동,2026-06-09 06:03,2026-06-09 03:03,3.264451289049404e-06,안전
11140165,황학동,2026-06-09 06:03,2026-06-09 03:03,-1.5174506846287015e-10,안전
11140156,입정동,2026-06-09 06:03,2026-06-09 03:03,-6.330872771971647e-11,안전
11140143,장충동1가,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11140144,장충동2가,2026-06-09 06:03,2026-06-09 03:03,-2.4046001881269256e-10,안전
11140160,인현동1가,2026-06-09 06:03,2026-06-09 03:03,-6.708170758569283e-11,안전
11140105,을지로2가,2026-06-09 06:03,2026-06-09 03:03,5.097026327881298e-11,안전
11140135,예관동,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11140132,충무로4가,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11140107,삼각동,2026-06-09 06:03,2026-06-09 03:03,4.955943973004726e-11,안전
11140106,남대문로1가,2026-06-09 06:03,2026-06-09 03:03,-6.708170758569283e-11,안전
11140137,필동1가,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11140140,남학동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11140109,장교동,2026-06-09 06:03,2026-06-09 03:03,-6.708170758569283e-11,안전
11140161,저동2가,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11140134,인현동2가,2026-06-09 06:03,2026-06-09 03:03,2.989110129060933e-11,안전
11140126,명동1가,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11140131,저동1가,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11140169,의주로1가,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11140172,의주로2가,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11140122,회현동2가,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11140128,남산동1가,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11140130,남산동3가,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11140158,충무로3가,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11140133,충무로5가,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11140159,초동,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11140136,묵정동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11140154,오장동,2026-06-09 06:03,2026-06-09 03:03,-6.708170758569283e-11,안전
11140146,광희동2가,2026-06-09 06:03,2026-06-09 03:03,-6.567088403692711e-11,안전
11140145,광희동1가,2026-06-09 06:03,2026-06-09 03:03,-1.9671053521169084e-10,안전
11140147,쌍림동,2026-06-09 06:03,2026-06-09 03:03,2.989110129060933e-11,안전
11140123,회현동3가,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11140129,남산동2가,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11140111,소공동,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11140113,북창동,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11140155,을지로3가,2026-06-09 06:03,2026-06-09 03:03,-6.708170758569283e-11,안전
11140170,충정로1가,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11140148,을지로6가,2026-06-09 06:03,2026-06-09 03:03,-1.5045215787772187e-10,안전
11140127,명동2가,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11140104,을지로1가,2026-06-09 06:03,2026-06-09 03:03,3.913260302039676e-11,안전
11140110,수표동,2026-06-09 06:03,2026-06-09 03:03,-1.940068010777771e-10,안전
11140149,을지로7가,2026-06-09 06:03,2026-06-09 03:03,-1.5045215787772187e-10,안전
11140153,방산동,2026-06-09 06:03,2026-06-09 03:03,-1.5045215787772187e-10,안전
