EMD_CD,FLOOD_COUNT,AVG_SHIM,MAX_SHIM,AVG_AREA,TOTAL_SCALE,AVG_DEPTH_PER_AREA,RECENT_YR
11110109,1,0.3,0.3,105.17877846,31.553633538,0.0028522864059891267,2025
11110140,1,0.3,0.3,106.09166321,31.827498962999996,0.002827743395879975,2025
11110182,1,0.3,0.3,665.42416057,199.627248171,0.00045084025765313514,2025
11110183,3,0.3,0.3,639.5036423966667,575.553278157,0.00047942681904238044,2025
11110186,4,0.3,0.3,116.18831711,139.425980532,0.003266467453315594,2025
11230101,1,0.3,0.3,178.60606124,53.581818372,0.001679674239033121,2025
11290103,1,0.1,0.1,242.86298869,24.286298869000003,0.00041175479450120735,2025
11290123,1,0.1,0.1,134.89579796,13.489579796000001,0.0007413129357050285,2025
11290133,1,0.3,0.3,2809639.63623471,842891.8908704129,1.067752590513849e-07,2025
11290134,1,0.1,0.1,138.00565124,13.800565124,0.0007246080077263944,2025
11290136,3,0.10000000000000002,0.1,179.54192927666668,53.862578783000004,0.000889987534315196,2025
11290137,1,0.1,0.1,124.32873255,12.432873255,0.0008043193069613578,2025
11290138,5,0.1,0.1,170.95508935200002,85.47754467600001,0.0006782060067222601,2025
11305101,7,0.3,0.3,401532.31622613425,843217.8640748819,0.00177433786182743,2025
11305102,8,0.3,0.3,146.0735478225,350.576514774,0.002246682428583721,2025
11305103,24,0.3,0.3,117255.7763583596,844241.5897801889,0.0020393011686472826,2025
11305104,12,0.3,0.3,234388.65795301998,843799.1686308719,0.00193982437297559,2025
11320105,24,0.3,0.3,227.49223591541667,1637.9440985909998,0.0016637212555799259,2025
11320106,20,0.3,0.3,204.641610923,1227.849665538,0.0019062300917007022,2025
11320107,4,0.3,0.3,264.50446943,317.405363316,0.0017637931909461173,2025
11320108,9,0.3,0.3,210.44976035888888,568.214352969,0.0016113033039470291,2025
11350102,11,0.15,0.15,194.67106827909092,321.20726266049996,0.0008118377223554574,2025
11350105,5,0.15,0.15,343.12154073,257.34115554749997,0.0006117222891786465,2025
11380101,7,0.1,0.1,139.93962229428573,97.957735606,0.000807654457661477,2025
11380102,31,0.1,0.1,516.0676962851612,1599.8098584840002,0.0006469096500858198,2025
11380103,191,0.1,0.1,176.1470530528272,3364.408713309,0.0008356461176626644,2025
11380104,144,0.1,0.1,212.91393697513888,3065.9606924420004,0.0005699794121247039,2025
11380105,25,0.1,0.1,193.9297366568,484.82434164200004,0.0006022580611259773,2025
11380106,21,0.1,0.1,190.77700754904762,400.631715853,0.0006819970837211823,2025
11380107,212,0.10000000000000002,0.1,536.5292477073585,11374.420051396,0.0007098973243650732,2025
11380108,71,0.1,0.1,182.33702917450705,1294.592907139,0.0006133584887164401,2025
11380109,20,0.1,0.1,191.952957306,383.90591461200006,0.0006388023409508311,2025
11380110,31,0.1,0.1,314.8309744883871,975.9760209140001,0.0005784002239500725,2025
11380114,8,0.1,0.1,2948.81218533875,2359.049748271,0.00019863875292773294,2025
11410118,4,0.5,0.5,124.575396215,249.15079243,0.004201572885897362,2025
11410119,78,0.48717948717948717,0.5,166.98747775538462,6360.719787344,0.0031278621361632655,2025
11470101,1,0.3,0.3,388.06238865,116.41871659499999,0.000773071569867017,2025
11500101,1,0.5,0.5,222.96344851,111.481724255,0.0022425200334016846,2025
11500102,2,0.5,0.5,379.90076486,379.90076486,0.0024947174802188218,2025
11500103,3,0.5,0.5,190.62724942666668,285.94087414,0.0026442356094572433,2025
11500104,1,0.5,0.5,1490.3185841,745.15929205,0.0003354987351928842,2025
11500105,14,0.5,0.5,974.5607138221429,6821.924996755,0.0015160512139806885,2025
11500106,17,0.5,0.5,229.75269767058825,1952.8979302,0.0025449199186923827,2025
11500108,19,0.5,0.5,174.15767967000002,1654.497956865,0.003221455199262031,2025
11500109,83,0.4975903614457831,0.5,224.38752685638553,8685.588891956,0.003327336654499389,2025
11500110,2,0.5,0.5,274.30504953,274.30504953,0.0018244258134871077,2025
11560132,1,0.3,0.3,139.88050417,41.964151251,0.002144687723139767,2025
11590102,2,0.3,0.3,402.94502733,241.76701639799998,0.0010019123566171544,2025
11590103,1,0.3,0.3,198.71006953,59.613020858999995,0.0015097372805997025,2025
11680103,1,0.3,0.3,418.27114397,125.48134319100001,0.0007172380985993075,2025
