F_SHIM,F_AREA,F_ZONE_NM,F_YR,FLOOD_SCALE,FLOOD_DEPTH_PER_AREA,FLOOD_RISK
0.1,132.88891812,서울특별시 은평구 갈현동 403-29 1층,2025,13.288891812000001,0.0007525081956773779,낮음
0.1,138.31682497,서울특별시 은평구 갈현동 403-9 지하 1층,2025,13.831682497000001,0.0007229778446815081,낮음
0.1,131.72889252,서울특별시 은평구 불광동 351-16 지층 우측,2025,13.172889252,0.0007591349026548395,낮음
0.1,244.8014825,서울특별시 은평구 불광동 170-139 지하 101호,2025,24.48014825,0.0004084942581996006,낮음
0.1,117.08565512,서울특별시 은평구 갈현동 403-36 1층,2025,11.708565512,0.0008540755901951519,낮음
0.1,120.4799519,서울특별시 은평구 갈현동 402-13 비102호,2025,12.047995190000002,0.0008300136115841195,낮음
0.1,121.54350041,서울특별시 은평구 불광동 348-24 지층,2025,12.154350041,0.0008227506996480456,낮음
0.1,177.44734996,서울특별시 은평구 불광동 312-122 B102,2025,17.744734996000002,0.0005635474411003709,낮음
0.1,149.37511471,서울특별시 은평구 갈현동 449-33 지하,2025,14.937511471,0.0006694555528485593,낮음
0.1,128.10209947,서울특별시 은평구 갈현동 402-20 지층,2025,12.810209947000002,0.0007806273309628217,낮음
0.1,219.98484105,서울특별시 은평구 갈현동 400-16 지층,2025,21.998484105000003,0.0004545767768483246,낮음
0.1,165.19293863,서울특별시 은평구 불광동 344-17 지층,2025,16.519293862999998,0.000605352751935605,낮음
0.1,278.85064435,서울특별시 은평구 갈현동 400-5 1층,2025,27.885064435,0.00035861491456510604,낮음
0.1,143.58163655,서울특별시 은평구 갈현동 453-20 지하,2025,14.358163655000002,0.0006964678938255214,낮음
0.1,154.13010645,서울특별시 은평구 불광동 218-28 101호,2025,15.413010645,0.0006488025104455509,낮음
0.1,136.61744381,서울특별시 은평구 불광동 344-24 지층 좌측,2025,13.661744381,0.0007319709490325005,낮음
0.1,118.10601252,서울특별시 은평구 갈현동 456-6 1층,2025,11.810601252,0.0008466969451116307,낮음
0.1,246.04245947,서울특별시 은평구 갈현동 456-32 1층,2025,24.604245947000003,0.0004064339147617447,낮음
0.1,285.53565818,서울특별시 은평구 갈현동 517-4 B01호,2025,28.553565818,0.0003502189556197587,낮음
0.1,165.71414835,서울특별시 은평구 갈현동 12-12 302호,2025,16.571414835,0.0006034487760742852,낮음
0.1,187.73639678,서울특별시 은평구 불광동 326-1 지하 우측,2025,18.773639678000002,0.0005326617625307126,낮음
0.1,370.81574573,서울특별시 은평구 갈현동 6-12 102호,2025,37.081574573000005,0.000269675711324331,낮음
0.1,405.00878583,서울특별시 은평구 불광동 184-9 101호,2025,40.500878583,0.00024690822396621884,낮음
0.1,57.54475059,서울특별시 은평구 불광동 185-2,2025,5.754475059000001,0.001737777972355619,낮음
0.1,708.80030715,서울특별시 은평구 진관동 293-6,2025,70.880030715,0.00014108346030786565,낮음
0.1,141.99222091,서울특별시 은평구 신사동 204-8 지층,2025,14.199222091,0.0007042639333276135,낮음
0.1,335.80201715,서울특별시 은평구 갈현동 13-9 202호,2025,33.580201715,0.0002977945184746488,낮음
0.1,144.8221811,서울특별시 은평구 증산동 169-13 B01호,2025,14.48221811,0.0006905019606834247,낮음
0.1,614.26873716,서울특별시 은평구 증산동 186-12 지층 102호,2025,61.426873716,0.00016279519687480493,낮음
0.1,161.93335236,서울특별시 은평구 증산동 172-23 101호,2025,16.193335236,0.0006175380089562175,낮음
0.1,170.9882124,서울특별시 은평구 증산동 185-3 103호,2025,17.098821240000003,0.0005848356363072896,낮음
0.1,116.21209156,서울특별시 은평구 증산동 184-10 B02호,2025,11.621209156,0.0008604956563265214,낮음
0.1,5996.75134853,서울특별시 은평구 진관동 290,2025,599.675134853,1.6675695587163754e-05,낮음
0.1,128.1412401,서울특별시 은평구 응암동 592-49 지하,2025,12.81412401,0.000780388889025587,낮음
0.1,198.18179026,서울특별시 은평구 응암동 592-31 지하2호,2025,19.818179026000003,0.0005045872270545509,낮음
0.1,117.82025074,서울특별시 은평구 응암동 596-31 지층 좌측,2025,11.782025074000002,0.0008487505277906354,낮음
0.1,92.78822298,서울특별시 은평구 응암동 592-54 지층,2025,9.278822298,0.001077722978071845,낮음
0.1,134.44799949,서울특별시 은평구 응암동 592-38 행보공간빌라 1동 101호,2025,13.444799949,0.0007437819854466323,낮음
0.1,116.13102033,서울특별시 은평구 응암동 596-7 B02호,2025,11.613102033,0.0008610963695646366,낮음
0.1,338.57702081,서울특별시 은평구 역촌동 55-34 지층,2025,33.857702081000006,0.0002953537713834313,낮음
0.1,132.81704298,서울특별시 은평구 신사동 338-29 지층 좌측,2025,13.281704298000001,0.0007529154222704561,낮음
